id;name;deleted;created_at;modified_at;sku;is_active;type;amount;created_by_id;modified_by_id;product_family_id;name_en_us;name_de_de;product_status;price;currency;price_currency;tax_id;ean;mpn;packaging_id;uvp;tag;owner_user_id;assigned_user_id;final_price;final_price_currency;long_description;long_description_de_de;long_description_en_us;product_serie_id;data;catalog_id;base_price_amount;packed_amount;image_id;measuring_unit_id;delivery_status;delivery_status_de_de;delivery_status_en_us;supplied;supplied_de_de;supplied_en_us
1;Generic Steel Tuna;true;2020-09-13T20:53:51;2020-09-13T04:51:34;quantify cross-platform support;true;virtual wireless Computer;76146;reboot deposit Sri Lanka;withdrawal Refined Metal;Steel;Kina networks;Metical partnerships;Infrastructure;46442;transmitting intermediate withdrawal;green Credit Card Account;Gloves Lao People's Demo;neutral;Rustic Concrete Car;Computer Oklahoma Identi;20520;../fake-data/blob/hipster.txt;Security;Data Identity;58781;indigo Sports Human;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Personal Loan Account ye;../fake-data/blob/hipster.txt;Cape Verde;40746;27546;homogeneous withdrawal;invoice;Liaison;Keyboard;Central Ergonomic Concrete Ball;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;pixel Gorgeous Rubber Cheese quantifying;false;2020-09-13T09:30:22;2020-09-13T20:21:28;multi-byte online Forward;false;Stand-alone Computer efficient;4074;mobile Practical;User-friendly lavender w;sticky brand solution;Customer;Checking Account Gorgeous Fresh Ball;Unbranded Steel Computer;64809;full-range;Consultant Chair;internet solution Operat;Chicken;Personal Loan Account Mobility multi-byte;clicks-and-mortar;62245;../fake-data/blob/hipster.txt;IB;Martinique Industrial Ru;25242;Taka;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;National;../fake-data/blob/hipster.txt;bypassing e-business Sol;26258;54007;Trinidad and Tobago Doll;Vista;Bedfordshire Product;invoice;open system Security;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;Colombian Peso Unidad de Valor Real executive;false;2020-09-13T09:29:30;2020-09-13T04:31:05;Sleek Gateway program;true;Accounts convergence;59291;Pula;copying;transmit;deposit global Sausages;value-added;Home Loan Account;42536;Small sky blue turquoise;disintermediate generating Cheese;benchmark Berkshire;intuitive Chicken;turquoise;Rwanda Home Loan Account;67848;../fake-data/blob/hipster.txt;Functionality markets Ta;Keyboard;32056;Producer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Buckinghamshire;../fake-data/blob/hipster.txt;Specialist;6153;55191;USB Unbranded Concrete H;Venezuela Human;deposit mint green time-frame;exuding Facilitator;Nebraska web services;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;Future Regional transmitting;true;2020-09-13T13:30:52;2020-09-13T22:38:23;Bacon payment efficient;true;Mouse Serbia engage;40947;Programmable Checking Ac;Functionality Plastic;Persistent primary;Unbranded Plastic Bacon;Palladium Malta;matrix Avon;92229;Kansas clicks-and-mortar;protocol Intranet;Keys blue indexing;leverage Concrete PCI;Integration Producer Baby;teal open-source;99027;../fake-data/blob/hipster.txt;transform;XML;30263;IB;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;payment payment;../fake-data/blob/hipster.txt;Home Loan Account Chicke;17140;38194;indigo;Paraguay;modular;neural back-end back-end;Infrastructure Consultant;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;frictionless South Dakota Rwanda Franc;false;2020-09-13T06:06:01;2020-09-13T07:44:57;Home Loan Account 1080p;false;Manat Grocery Oman;83549;deliverables;Pizza deposit;5th generation Money Mar;Division Rustic Steel Gloves open-source;leverage alarm back up;Pizza sticky Investment Account;93776;San Marino distributed Licensed Plastic Sausages;orange Tools;Unbranded Music;Shoes;New Hampshire Saudi Arabia Berkshire;Games;29631;../fake-data/blob/hipster.txt;regional calculating;portals Bolivar Fuerte e;60886;Borders port system;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;heuristic Global;../fake-data/blob/hipster.txt;Viaduct metrics;88539;3511;Utah;Auto Loan Account RAM;cutting-edge Movies;pixel;SMTP overriding primary;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;Ergonomic Granite Table olive;false;2020-09-14T00:17:25;2020-09-13T14:05:42;framework Ouguiya teal;true;Central bleeding-edge SCSI;92572;1080p;Kenyan Shilling 24/7;Universal Regional Incre;compressing;Ball;South Carolina Principal;58666;Gorgeous yellow;black Designer;system;interface Optimization;Northern Mariana Islands Uzbekistan Sum;convergence;55120;../fake-data/blob/hipster.txt;backing up;Credit Card Account Idah;68314;Designer THX Inlet;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Assistant Nevada;../fake-data/blob/hipster.txt;Fish wireless Group;60773;31896;Brooks Bike Unbranded;copy;Communications;Bacon primary Russian Federation;blue;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;gold Maine Cotton;true;2020-09-13T17:49:28;2020-09-13T16:40:43;Lights;true;Views;83785;Silver bleeding-edge;magenta;Personal Loan Account Au;Skyway Brand;Central;Advanced neutral;30207;mobile Sleek Steel Bacon;Rustic Frozen Tuna;policy Berkshire Human;Soap Gourde US Dollar Fantastic;e-business Spur;XSS calculate;22879;../fake-data/blob/hipster.txt;Lake;Fantastic Plastic Keyboa;606;Personal Loan Account transmitting;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;utilize synthesizing;../fake-data/blob/hipster.txt;Parks;16202;27703;Saint Kitts and Nevis in;District;Rustic expedite;Baht;Licensed Fresh Bike;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;Mobility Prairie;true;2020-09-13T20:56:39;2020-09-13T23:24:47;Wells Expanded;false;redundant framework;51814;Inlet Cambridgeshire pol;Lek;Springs;connecting;Solomon Islands Square;Diverse Beauty Steel;97343;synthesizing Inlet;Chips;Operative Montenegro Uga;Representative Alabama;index Malaysia;Optimization;94769;../fake-data/blob/hipster.txt;Accounts HDD;Officer;39448;Tonga quantifying;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Bike blue;../fake-data/blob/hipster.txt;Baby Fantastic Metal Chi;28829;14191;Common;Response;initiative solid state;Qatari Rial;interface reintermediate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;service-desk Shores;false;2020-09-14T02:41:18;2020-09-13T16:17:52;generating Shoes invoice;true;Quality Gorgeous hardware;71751;AGP markets;deposit Louisiana Pitcai;turquoise;Alabama Rubber;virtual;real-time;64647;quantify;Small Paradigm hard drive;Director;Investor Ouguiya;indexing Borders gold;cyan Berkshire;55641;../fake-data/blob/hipster.txt;reboot Multi-layered;quantifying Cotton;71242;Bedfordshire cross-platform RSS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;program Soap Ergonomic W;../fake-data/blob/hipster.txt;Automotive;47240;83348;multi-tasking;Secured;Persistent circuit;Clothing deposit XML;Specialist;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;Home;true;2020-09-13T19:34:34;2020-09-13T13:00:48;migration Shoes;true;technologies HDD payment;53597;New Hampshire Rustic Woo;metrics;Tennessee reintermediate;Palestinian Territory array;generate;Direct;78160;Connecticut;Nevada;e-services Practical Met;forecast Gorgeous;Berkshire;invoice Fresh transmitti;1783;../fake-data/blob/hipster.txt;Papua New Guinea Visiona;SQL Identity Enhanced;65821;Junction Research;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;transmitter;../fake-data/blob/hipster.txt;Profound Strategist;35142;24673;Table;compress;white bypass;Administrator Corners array;vortals;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
