id;name;deleted;description;is_active;created_at;modified_at;created_by_id;modified_by_id;name_en_us;description_en_us;name_de_de;description_de_de;code;owner_user_id;assigned_user_id
1;Proactive Home Loan Account parse;true;../fake-data/blob/hipster.txt;true;2020-09-13T15:40:47;2020-09-13T20:02:05;Internal interface;yellow white;copy;../fake-data/blob/hipster.txt;Generic;../fake-data/blob/hipster.txt;communities;cyan;Baby Central Steel
2;Personal Loan Account;false;../fake-data/blob/hipster.txt;true;2020-09-13T05:36:39;2020-09-13T06:25:49;Soft redundant Shoes;Technician;RSS;../fake-data/blob/hipster.txt;card Licensed;../fake-data/blob/hipster.txt;Unbranded;Expanded;magenta
3;challenge Clothing;false;../fake-data/blob/hipster.txt;false;2020-09-13T12:25:30;2020-09-13T07:29:15;pink Developer Michigan;User-centric;Auto Loan Account Soft Villages;../fake-data/blob/hipster.txt;Fantastic California;../fake-data/blob/hipster.txt;auxiliary foreground;Gloves sky blue Persiste;Salad
4;protocol Technician hardware;true;../fake-data/blob/hipster.txt;false;2020-09-14T01:07:05;2020-09-14T00:42:15;integrate;Swiss Franc Leone;Tennessee Awesome;../fake-data/blob/hipster.txt;Tasty Rubber Ball;../fake-data/blob/hipster.txt;Ergonomic Metal Shoes;Designer Configuration a;cyan Steel
5;hacking;false;../fake-data/blob/hipster.txt;false;2020-09-13T06:11:00;2020-09-13T07:44:18;Bedfordshire pixel Perso;Response Wooden Manager;local;../fake-data/blob/hipster.txt;deliverables Bike;../fake-data/blob/hipster.txt;Keyboard Generic;compressing Brand applic;Computer
6;Home Loan Account;true;../fake-data/blob/hipster.txt;true;2020-09-13T11:58:24;2020-09-14T02:59:36;Delaware lime;Keyboard Hill;info-mediaries generating full-range;../fake-data/blob/hipster.txt;Center;../fake-data/blob/hipster.txt;middleware Tasty Fresh Soap;quantify blue Practical;Thailand Money Market Ac
7;Fields;false;../fake-data/blob/hipster.txt;false;2020-09-13T11:25:35;2020-09-13T23:44:42;Yemen experiences;Brazil;RAM;../fake-data/blob/hipster.txt;orange Croatia;../fake-data/blob/hipster.txt;success Towels infrastructure;copy California teal;Shoes zero administratio
8;payment;false;../fake-data/blob/hipster.txt;true;2020-09-13T23:14:10;2020-09-13T16:50:41;Universal;bottom-line;Views Plains;../fake-data/blob/hipster.txt;Avon Sports Idaho;../fake-data/blob/hipster.txt;copying synthesizing;dynamic Saint Helena;engineer haptic
9;Plastic Montana;false;../fake-data/blob/hipster.txt;true;2020-09-13T16:23:23;2020-09-13T16:05:19;relationships Consultant;multi-byte;overriding Associate North Dakota;../fake-data/blob/hipster.txt;web-enabled;../fake-data/blob/hipster.txt;array;Sri Lanka Rupee;multi-byte Credit Card A
10;Concrete;true;../fake-data/blob/hipster.txt;true;2020-09-13T06:38:58;2020-09-13T04:48:18;adapter lime Senior;Agent calculating Sleek ;Credit Card Account Steel;../fake-data/blob/hipster.txt;Forward;../fake-data/blob/hipster.txt;projection;Kina matrix;website bypassing paradi
